"Analyzed","CVE-2020-26311","CWE-1333","security-advisories@github.com",8.7,"HIGH","CVSS:4.0/AV:N/AC:L/AT:N/PR:N/UI:N/VC:N/VI:N/VA:H/SC:N/SI:N/SA:N/E:X/CR:X/IR:X/AR:X/MAV:X/MAC:X/MAT:X/MPR:X/MUI:X/MVC:X/MVI:X/MVA:X/MSC:X/MSI:X/MSA:X/S:X/AU:X/R:X/V:X/RE:X/U:Green","nvd@nist.gov",7.5,"HIGH","CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H",,,,,,,,,"cpe:2.3:a:useragent_project:useragent:*:*:*:*:*:node.js:*:*"
"Analyzed","CVE-2020-36840","CWE-862",,,,,"security@wordfence.com" "nvd@nist.gov",7.3 9.8,"HIGH" "CRITICAL","CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:L/I:L/A:L" "CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H",,,,,,,,,"cpe:2.3:a:motopress:timetable_and_event_schedule:*:*:*:*:*:wordpress:*:*"
"Analyzed","CVE-2020-36842","CWE-434",,,,,"security@wordfence.com",8.8,"HIGH","CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:U/C:H/I:H/A:H",,,,,,,,,"cpe:2.3:a:wpvivid:migration\\
"Analyzed","CVE-2021-4448","CWE-862",,,,,"security@wordfence.com" "nvd@nist.gov",7.3 9.8,"HIGH" "CRITICAL","CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:L/I:L/A:L" "CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H",,,,,,,,,"cpe:2.3:a:kaswara_project:kaswara:*:*:*:*:*:wordpress:*:*"
"Analyzed","CVE-2021-4449","CWE-434",,,,,"security@wordfence.com",9.8,"CRITICAL","CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H",,,,,,,,,"cpe:2.3:a:digitalzoomstudio:zoomsounds:*:*:*:*:*:wordpress:*:*"
"Analyzed","CVE-2021-4450","CWE-89",,,,,"security@wordfence.com",8.8,"HIGH","CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:U/C:H/I:H/A:H",,,,,,,,,"cpe:2.3:a:pickplugins:post_grid:*:*:*:*:*:wordpress:*:*"
"Analyzed","CVE-2021-4451","CWE-502" "CWE-502",,,,,"security@wordfence.com" "nvd@nist.gov",6.6 7.2,"MEDIUM" "HIGH","CVSS:3.1/AV:N/AC:H/PR:H/UI:N/S:U/C:H/I:H/A:H" "CVSS:3.1/AV:N/AC:L/PR:H/UI:N/S:U/C:H/I:H/A:H",,,,,,,,,"cpe:2.3:a:nintechnet:ninjafirewall:*:*:*:*:*:wordpress:*:*"
"Analyzed","CVE-2021-4452","CWE-79",,,,,"security@wordfence.com" "nvd@nist.gov",7.1 5.4,"HIGH" "MEDIUM","CVSS:3.1/AV:N/AC:L/PR:N/UI:R/S:C/C:L/I:L/A:L" "CVSS:3.1/AV:N/AC:L/PR:L/UI:R/S:C/C:L/I:L/A:N",,,,,,,,,"cpe:2.3:a:gtranslate:google_language_translator:*:*:*:*:*:wordpress:*:*"
"Analyzed","CVE-2022-23861","CWE-79" "CWE-79",,,,,"nvd@nist.gov" "134c704f-9b21-4f2e-91b3-4a467353bcc0",5.4 6.1,"MEDIUM" "MEDIUM","CVSS:3.1/AV:N/AC:L/PR:L/UI:R/S:C/C:L/I:L/A:N" "CVSS:3.1/AV:N/AC:L/PR:N/UI:R/S:C/C:L/I:L/A:N",,,,,,,,,"cpe:2.3:a:ysoft:safeq:6.0:build53:*:*:*:*:*:*"
"Analyzed","CVE-2022-23862","CWE-306" "CWE-306",,,,,"nvd@nist.gov" "134c704f-9b21-4f2e-91b3-4a467353bcc0",7.8 8.4,"HIGH" "HIGH","CVSS:3.1/AV:L/AC:L/PR:L/UI:N/S:U/C:H/I:H/A:H" "CVSS:3.1/AV:L/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H",,,,,,,,,"cpe:2.3:a:ysoft:safeq:6.0:build53:*:*:*:*:*:*"
"Analyzed","CVE-2022-30356","CWE-863" "CWE-863",,,,,"nvd@nist.gov" "134c704f-9b21-4f2e-91b3-4a467353bcc0",4.7 8.8,"MEDIUM" "HIGH","CVSS:3.1/AV:N/AC:L/PR:H/UI:N/S:U/C:L/I:L/A:L" "CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:U/C:H/I:H/A:H",,,,,,,,,"cpe:2.3:a:ovaledge:ovaledge:*:*:*:*:*:*:*:*"
"Analyzed","CVE-2022-30357","NVD-CWE-noinfo" "CWE-352",,,,,"nvd@nist.gov" "134c704f-9b21-4f2e-91b3-4a467353bcc0",8.8 9.8,"HIGH" "CRITICAL","CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:U/C:H/I:H/A:H" "CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H",,,,,,,,,"cpe:2.3:a:ovaledge:ovaledge:*:*:*:*:*:*:*:*"
"Analyzed","CVE-2022-30358","CWE-863" "CWE-863",,,,,"nvd@nist.gov" "134c704f-9b21-4f2e-91b3-4a467353bcc0",8.8 8.8,"HIGH" "HIGH","CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:U/C:H/I:H/A:H" "CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:U/C:H/I:H/A:H",,,,,,,,,"cpe:2.3:a:ovaledge:ovaledge:*:*:*:*:*:*:*:*"
"Analyzed","CVE-2022-30359","CWE-922" "CWE-79",,,,,"nvd@nist.gov" "134c704f-9b21-4f2e-91b3-4a467353bcc0",4.3 5.4,"MEDIUM" "MEDIUM","CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:U/C:L/I:N/A:N" "CVSS:3.1/AV:N/AC:L/PR:L/UI:R/S:C/C:L/I:L/A:N",,,,,,,,,"cpe:2.3:a:ovaledge:ovaledge:*:*:*:*:*:*:*:*"
"Analyzed","CVE-2022-30360","CWE-79" "CWE-79",,,,,"nvd@nist.gov" "134c704f-9b21-4f2e-91b3-4a467353bcc0",6.4 5.4,"MEDIUM" "MEDIUM","CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:C/C:L/I:L/A:N" "CVSS:3.1/AV:N/AC:L/PR:L/UI:R/S:C/C:L/I:L/A:N",,,,,,,,,"cpe:2.3:a:ovaledge:ovaledge:*:*:*:*:*:*:*:*"
"Analyzed","CVE-2022-30361","CWE-922" "CWE-922",,,,,"nvd@nist.gov" "134c704f-9b21-4f2e-91b3-4a467353bcc0",5.3 4.3,"MEDIUM" "MEDIUM","CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:L/I:N/A:N" "CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:U/C:L/I:N/A:N",,,,,,,,,"cpe:2.3:a:ovaledge:ovaledge:*:*:*:*:*:*:*:*"
"Analyzed","CVE-2022-48946","NVD-CWE-noinfo",,,,,"nvd@nist.gov",5.5,"MEDIUM","CVSS:3.1/AV:L/AC:L/PR:L/UI:N/S:U/C:N/I:N/A:H",,,,,,,,,"cpe:2.3:o:linux:linux_kernel:*:*:*:*:*:*:*:*" "cpe:2.3:o:linux:linux_kernel:*:*:*:*:*:*:*:*" "cpe:2.3:o:linux:linux_kernel:*:*:*:*:*:*:*:*" "cpe:2.3:o:linux:linux_kernel:*:*:*:*:*:*:*:*" "cpe:2.3:o:linux:linux_kernel:*:*:*:*:*:*:*:*" "cpe:2.3:o:linux:linux_kernel:*:*:*:*:*:*:*:*" "cpe:2.3:o:linux:linux_kernel:*:*:*:*:*:*:*:*" "cpe:2.3:o:linux:linux_kernel:6.1:*:*:*:*:*:*:*" "cpe:2.3:o:linux:linux_kernel:6.1.1:*:*:*:*:*:*:*"
"Analyzed","CVE-2022-48947","CWE-190",,,,,"nvd@nist.gov",5.5,"MEDIUM","CVSS:3.1/AV:L/AC:L/PR:L/UI:N/S:U/C:N/I:N/A:H",,,,,,,,,"cpe:2.3:o:linux:linux_kernel:*:*:*:*:*:*:*:*" "cpe:2.3:o:linux:linux_kernel:*:*:*:*:*:*:*:*" "cpe:2.3:o:linux:linux_kernel:*:*:*:*:*:*:*:*" "cpe:2.3:o:linux:linux_kernel:*:*:*:*:*:*:*:*" "cpe:2.3:o:linux:linux_kernel:*:*:*:*:*:*:*:*" "cpe:2.3:o:linux:linux_kernel:*:*:*:*:*:*:*:*" "cpe:2.3:o:linux:linux_kernel:*:*:*:*:*:*:*:*" "cpe:2.3:o:linux:linux_kernel:6.1:rc1:*:*:*:*:*:*" "cpe:2.3:o:linux:linux_kernel:6.1:rc2:*:*:*:*:*:*" "cpe:2.3:o:linux:linux_kernel:6.1:rc3:*:*:*:*:*:*" "cpe:2.3:o:linux:linux_kernel:6.1:rc4:*:*:*:*:*:*" "cpe:2.3:o:linux:linux_kernel:6.1:rc5:*:*:*:*:*:*" "cpe:2.3:o:linux:linux_kernel:6.1:rc6:*:*:*:*:*:*" "cpe:2.3:o:linux:linux_kernel:6.1:rc7:*:*:*:*:*:*" "cpe:2.3:o:linux:linux_kernel:6.1:rc8:*:*:*:*:*:*"
"Analyzed","CVE-2022-48948","CWE-120",,,,,"nvd@nist.gov",7.8,"HIGH","CVSS:3.1/AV:L/AC:L/PR:L/UI:N/S:U/C:H/I:H/A:H",,,,,,,,,"cpe:2.3:o:linux:linux_kernel:*:*:*:*:*:*:*:*" "cpe:2.3:o:linux:linux_kernel:*:*:*:*:*:*:*:*" "cpe:2.3:o:linux:linux_kernel:*:*:*:*:*:*:*:*" "cpe:2.3:o:linux:linux_kernel:*:*:*:*:*:*:*:*" "cpe:2.3:o:linux:linux_kernel:*:*:*:*:*:*:*:*" "cpe:2.3:o:linux:linux_kernel:*:*:*:*:*:*:*:*" "cpe:2.3:o:linux:linux_kernel:*:*:*:*:*:*:*:*" "cpe:2.3:o:linux:linux_kernel:6.1:*:*:*:*:*:*:*"
"Analyzed","CVE-2022-48949","CWE-908",,,,,"nvd@nist.gov",5.5,"MEDIUM","CVSS:3.1/AV:L/AC:L/PR:L/UI:N/S:U/C:H/I:N/A:N",,,,,,,,,"cpe:2.3:o:linux:linux_kernel:*:*:*:*:*:*:*:*" "cpe:2.3:o:linux:linux_kernel:*:*:*:*:*:*:*:*" "cpe:2.3:o:linux:linux_kernel:*:*:*:*:*:*:*:*" "cpe:2.3:o:linux:linux_kernel:*:*:*:*:*:*:*:*" "cpe:2.3:o:linux:linux_kernel:*:*:*:*:*:*:*:*" "cpe:2.3:o:linux:linux_kernel:*:*:*:*:*:*:*:*" "cpe:2.3:o:linux:linux_kernel:6.1:*:*:*:*:*:*:*" "cpe:2.3:o:linux:linux_kernel:6.1:rc1:*:*:*:*:*:*" "cpe:2.3:o:linux:linux_kernel:6.1:rc2:*:*:*:*:*:*" "cpe:2.3:o:linux:linux_kernel:6.1:rc3:*:*:*:*:*:*" "cpe:2.3:o:linux:linux_kernel:6.1:rc4:*:*:*:*:*:*" "cpe:2.3:o:linux:linux_kernel:6.1:rc5:*:*:*:*:*:*" "cpe:2.3:o:linux:linux_kernel:6.1:rc6:*:*:*:*:*:*" "cpe:2.3:o:linux:linux_kernel:6.1:rc7:*:*:*:*:*:*" "cpe:2.3:o:linux:linux_kernel:6.1:rc8:*:*:*:*:*:*" "cpe:2.3:o:linux:linux_kernel:6.1.1:*:*:*:*:*:*:*"
"Analyzed","CVE-2022-48950","CWE-416",,,,,"nvd@nist.gov",7.8,"HIGH","CVSS:3.1/AV:L/AC:L/PR:L/UI:N/S:U/C:H/I:H/A:H",,,,,,,,,"cpe:2.3:o:linux:linux_kernel:*:*:*:*:*:*:*:*" "cpe:2.3:o:linux:linux_kernel:*:*:*:*:*:*:*:*" "cpe:2.3:o:linux:linux_kernel:6.1:rc1:*:*:*:*:*:*" "cpe:2.3:o:linux:linux_kernel:6.1:rc2:*:*:*:*:*:*" "cpe:2.3:o:linux:linux_kernel:6.1:rc3:*:*:*:*:*:*" "cpe:2.3:o:linux:linux_kernel:6.1:rc4:*:*:*:*:*:*" "cpe:2.3:o:linux:linux_kernel:6.1:rc5:*:*:*:*:*:*" "cpe:2.3:o:linux:linux_kernel:6.1:rc6:*:*:*:*:*:*" "cpe:2.3:o:linux:linux_kernel:6.1:rc7:*:*:*:*:*:*" "cpe:2.3:o:linux:linux_kernel:6.1:rc8:*:*:*:*:*:*"
"Analyzed","CVE-2022-48951","CWE-787",,,,,"nvd@nist.gov",7.8,"HIGH","CVSS:3.1/AV:L/AC:L/PR:L/UI:N/S:U/C:H/I:H/A:H",,,,,,,,,"cpe:2.3:o:linux:linux_kernel:*:*:*:*:*:*:*:*" "cpe:2.3:o:linux:linux_kernel:*:*:*:*:*:*:*:*" "cpe:2.3:o:linux:linux_kernel:*:*:*:*:*:*:*:*" "cpe:2.3:o:linux:linux_kernel:*:*:*:*:*:*:*:*" "cpe:2.3:o:linux:linux_kernel:*:*:*:*:*:*:*:*" "cpe:2.3:o:linux:linux_kernel:*:*:*:*:*:*:*:*" "cpe:2.3:o:linux:linux_kernel:*:*:*:*:*:*:*:*" "cpe:2.3:o:linux:linux_kernel:6.1:rc1:*:*:*:*:*:*" "cpe:2.3:o:linux:linux_kernel:6.1:rc2:*:*:*:*:*:*" "cpe:2.3:o:linux:linux_kernel:6.1:rc3:*:*:*:*:*:*" "cpe:2.3:o:linux:linux_kernel:6.1:rc4:*:*:*:*:*:*" "cpe:2.3:o:linux:linux_kernel:6.1:rc5:*:*:*:*:*:*" "cpe:2.3:o:linux:linux_kernel:6.1:rc6:*:*:*:*:*:*" "cpe:2.3:o:linux:linux_kernel:6.1:rc7:*:*:*:*:*:*" "cpe:2.3:o:linux:linux_kernel:6.1:rc8:*:*:*:*:*:*"
"Analyzed","CVE-2022-48952","NVD-CWE-noinfo",,,,,"nvd@nist.gov",5.5,"MEDIUM","CVSS:3.1/AV:L/AC:L/PR:L/UI:N/S:U/C:N/I:N/A:H",,,,,,,,,"cpe:2.3:o:linux:linux_kernel:*:*:*:*:*:*:*:*" "cpe:2.3:o:linux:linux_kernel:*:*:*:*:*:*:*:*" "cpe:2.3:o:linux:linux_kernel:6.1:*:*:*:*:*:*:*" "cpe:2.3:o:linux:linux_kernel:6.1.1:*:*:*:*:*:*:*"
"Analyzed","CVE-2022-48953","CWE-476",,,,,"nvd@nist.gov",5.5,"MEDIUM","CVSS:3.1/AV:L/AC:L/PR:L/UI:N/S:U/C:N/I:N/A:H",,,,,,,,,"cpe:2.3:o:linux:linux_kernel:*:*:*:*:*:*:*:*" "cpe:2.3:o:linux:linux_kernel:*:*:*:*:*:*:*:*" "cpe:2.3:o:linux:linux_kernel:*:*:*:*:*:*:*:*" "cpe:2.3:o:linux:linux_kernel:6.1:rc1:*:*:*:*:*:*" "cpe:2.3:o:linux:linux_kernel:6.1:rc2:*:*:*:*:*:*" "cpe:2.3:o:linux:linux_kernel:6.1:rc3:*:*:*:*:*:*" "cpe:2.3:o:linux:linux_kernel:6.1:rc4:*:*:*:*:*:*" "cpe:2.3:o:linux:linux_kernel:6.1:rc5:*:*:*:*:*:*" "cpe:2.3:o:linux:linux_kernel:6.1:rc6:*:*:*:*:*:*" "cpe:2.3:o:linux:linux_kernel:6.1:rc7:*:*:*:*:*:*" "cpe:2.3:o:linux:linux_kernel:6.1:rc8:*:*:*:*:*:*"
"Analyzed","CVE-2022-48954","CWE-416",,,,,"nvd@nist.gov",7.8,"HIGH","CVSS:3.1/AV:L/AC:L/PR:L/UI:N/S:U/C:H/I:H/A:H",,,,,,,,,"cpe:2.3:o:linux:linux_kernel:*:*:*:*:*:*:*:*" "cpe:2.3:o:linux:linux_kernel:*:*:*:*:*:*:*:*" "cpe:2.3:o:linux:linux_kernel:6.1:rc1:*:*:*:*:*:*" "cpe:2.3:o:linux:linux_kernel:6.1:rc2:*:*:*:*:*:*" "cpe:2.3:o:linux:linux_kernel:6.1:rc3:*:*:*:*:*:*" "cpe:2.3:o:linux:linux_kernel:6.1:rc4:*:*:*:*:*:*" "cpe:2.3:o:linux:linux_kernel:6.1:rc5:*:*:*:*:*:*" "cpe:2.3:o:linux:linux_kernel:6.1:rc6:*:*:*:*:*:*" "cpe:2.3:o:linux:linux_kernel:6.1:rc7:*:*:*:*:*:*" "cpe:2.3:o:linux:linux_kernel:6.1:rc8:*:*:*:*:*:*"
"Analyzed","CVE-2022-48955","CWE-401",,,,,"nvd@nist.gov",5.5,"MEDIUM","CVSS:3.1/AV:L/AC:L/PR:L/UI:N/S:U/C:N/I:N/A:H",,,,,,,,,"cpe:2.3:o:linux:linux_kernel:*:*:*:*:*:*:*:*" "cpe:2.3:o:linux:linux_kernel:*:*:*:*:*:*:*:*" "cpe:2.3:o:linux:linux_kernel:6.1:rc1:*:*:*:*:*:*" "cpe:2.3:o:linux:linux_kernel:6.1:rc2:*:*:*:*:*:*" "cpe:2.3:o:linux:linux_kernel:6.1:rc3:*:*:*:*:*:*" "cpe:2.3:o:linux:linux_kernel:6.1:rc4:*:*:*:*:*:*" "cpe:2.3:o:linux:linux_kernel:6.1:rc5:*:*:*:*:*:*" "cpe:2.3:o:linux:linux_kernel:6.1:rc6:*:*:*:*:*:*" "cpe:2.3:o:linux:linux_kernel:6.1:rc7:*:*:*:*:*:*" "cpe:2.3:o:linux:linux_kernel:6.1:rc8:*:*:*:*:*:*"
"Analyzed","CVE-2022-48956","CWE-416",,,,,"nvd@nist.gov",7.8,"HIGH","CVSS:3.1/AV:L/AC:L/PR:L/UI:N/S:U/C:H/I:H/A:H",,,,,,,,,"cpe:2.3:o:linux:linux_kernel:*:*:*:*:*:*:*:*" "cpe:2.3:o:linux:linux_kernel:*:*:*:*:*:*:*:*" "cpe:2.3:o:linux:linux_kernel:*:*:*:*:*:*:*:*" "cpe:2.3:o:linux:linux_kernel:*:*:*:*:*:*:*:*" "cpe:2.3:o:linux:linux_kernel:*:*:*:*:*:*:*:*" "cpe:2.3:o:linux:linux_kernel:*:*:*:*:*:*:*:*" "cpe:2.3:o:linux:linux_kernel:6.1:rc1:*:*:*:*:*:*" "cpe:2.3:o:linux:linux_kernel:6.1:rc2:*:*:*:*:*:*" "cpe:2.3:o:linux:linux_kernel:6.1:rc3:*:*:*:*:*:*" "cpe:2.3:o:linux:linux_kernel:6.1:rc4:*:*:*:*:*:*" "cpe:2.3:o:linux:linux_kernel:6.1:rc5:*:*:*:*:*:*" "cpe:2.3:o:linux:linux_kernel:6.1:rc6:*:*:*:*:*:*" "cpe:2.3:o:linux:linux_kernel:6.1:rc7:*:*:*:*:*:*" "cpe:2.3:o:linux:linux_kernel:6.1:rc8:*:*:*:*:*:*"
"Analyzed","CVE-2022-48957","CWE-401",,,,,"nvd@nist.gov",5.5,"MEDIUM","CVSS:3.1/AV:L/AC:L/PR:L/UI:N/S:U/C:N/I:N/A:H",,,,,,,,,"cpe:2.3:o:linux:linux_kernel:*:*:*:*:*:*:*:*" "cpe:2.3:o:linux:linux_kernel:*:*:*:*:*:*:*:*"
"Analyzed","CVE-2022-48958","CWE-401",,,,,"nvd@nist.gov",5.5,"MEDIUM","CVSS:3.1/AV:L/AC:L/PR:L/UI:N/S:U/C:N/I:N/A:H",,,,,,,,,"cpe:2.3:o:linux:linux_kernel:*:*:*:*:*:*:*:*" "cpe:2.3:o:linux:linux_kernel:*:*:*:*:*:*:*:*" "cpe:2.3:o:linux:linux_kernel:*:*:*:*:*:*:*:*" "cpe:2.3:o:linux:linux_kernel:*:*:*:*:*:*:*:*" "cpe:2.3:o:linux:linux_kernel:*:*:*:*:*:*:*:*" "cpe:2.3:o:linux:linux_kernel:*:*:*:*:*:*:*:*" "cpe:2.3:o:linux:linux_kernel:*:*:*:*:*:*:*:*" "cpe:2.3:o:linux:linux_kernel:6.1:rc1:*:*:*:*:*:*" "cpe:2.3:o:linux:linux_kernel:6.1:rc2:*:*:*:*:*:*" "cpe:2.3:o:linux:linux_kernel:6.1:rc3:*:*:*:*:*:*" "cpe:2.3:o:linux:linux_kernel:6.1:rc4:*:*:*:*:*:*" "cpe:2.3:o:linux:linux_kernel:6.1:rc5:*:*:*:*:*:*" "cpe:2.3:o:linux:linux_kernel:6.1:rc6:*:*:*:*:*:*" "cpe:2.3:o:linux:linux_kernel:6.1:rc7:*:*:*:*:*:*" "cpe:2.3:o:linux:linux_kernel:6.1:rc8:*:*:*:*:*:*"
"Analyzed","CVE-2022-48959","CWE-401",,,,,"nvd@nist.gov",5.5,"MEDIUM","CVSS:3.1/AV:L/AC:L/PR:L/UI:N/S:U/C:N/I:N/A:H",,,,,,,,,"cpe:2.3:o:linux:linux_kernel:*:*:*:*:*:*:*:*" "cpe:2.3:o:linux:linux_kernel:*:*:*:*:*:*:*:*" "cpe:2.3:o:linux:linux_kernel:*:*:*:*:*:*:*:*" "cpe:2.3:o:linux:linux_kernel:6.1:rc1:*:*:*:*:*:*" "cpe:2.3:o:linux:linux_kernel:6.1:rc2:*:*:*:*:*:*" "cpe:2.3:o:linux:linux_kernel:6.1:rc3:*:*:*:*:*:*" "cpe:2.3:o:linux:linux_kernel:6.1:rc4:*:*:*:*:*:*" "cpe:2.3:o:linux:linux_kernel:6.1:rc5:*:*:*:*:*:*" "cpe:2.3:o:linux:linux_kernel:6.1:rc6:*:*:*:*:*:*" "cpe:2.3:o:linux:linux_kernel:6.1:rc7:*:*:*:*:*:*" "cpe:2.3:o:linux:linux_kernel:6.1:rc8:*:*:*:*:*:*"
