"Analyzed","CVE-2023-29200","CWE-22" "CWE-22",,,,,"security-advisories@github.com" "nvd@nist.gov",4.3 6.5,"MEDIUM" "MEDIUM","CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:U/C:L/I:N/A:N" "CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:U/C:H/I:N/A:N",,,,,,,,,"cpe:2.3:a:contao:contao:*:*:*:*:*:*:*:*" "cpe:2.3:a:contao:contao:*:*:*:*:*:*:*:*" "cpe:2.3:a:contao:contao:*:*:*:*:*:*:*:*"
"Modified","CVE-2013-10024","CWE-200",,,,,"cna@vuldb.com" "nvd@nist.gov",3.5 7.5,"LOW" "HIGH","CVSS:3.1/AV:N/AC:L/PR:L/UI:R/S:U/C:L/I:N/A:N" "CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:N/A:N",,,,,"cna@vuldb.com",4,LOW,"AV:N/AC:L/Au:S/C:P/I:N/A:N","cpe:2.3:a:exit_strategy_project:exit_strategy:1.55:*:*:*:*:wordpress:*:*"
"Modified","CVE-2013-10025","CWE-352",,,,,"cna@vuldb.com" "nvd@nist.gov",4.3 8.8,"MEDIUM" "HIGH","CVSS:3.1/AV:N/AC:L/PR:N/UI:R/S:U/C:N/I:L/A:N" "CVSS:3.1/AV:N/AC:L/PR:N/UI:R/S:U/C:H/I:H/A:H",,,,,"cna@vuldb.com",5,MEDIUM,"AV:N/AC:L/Au:N/C:N/I:P/A:N","cpe:2.3:a:exit_strategy_project:exit_strategy:1.55:*:*:*:*:wordpress:*:*"
"Modified","CVE-2014-125094","CWE-79",,,,,"cna@vuldb.com" "nvd@nist.gov",3.5 6.1,"LOW" "MEDIUM","CVSS:3.1/AV:N/AC:L/PR:L/UI:R/S:U/C:N/I:L/A:N" "CVSS:3.1/AV:N/AC:L/PR:N/UI:R/S:C/C:L/I:L/A:N",,,,,"cna@vuldb.com",4,LOW,"AV:N/AC:L/Au:S/C:N/I:P/A:N","cpe:2.3:a:phpminiadmin_project:phpminiadmin:*:*:*:*:*:*:*:*"
"Modified","CVE-2014-125095","CWE-79",,,,,"cna@vuldb.com" "nvd@nist.gov",3.5 6.1,"LOW" "MEDIUM","CVSS:3.1/AV:N/AC:L/PR:L/UI:R/S:U/C:N/I:L/A:N" "CVSS:3.1/AV:N/AC:L/PR:N/UI:R/S:C/C:L/I:L/A:N",,,,,"cna@vuldb.com",4,LOW,"AV:N/AC:L/Au:S/C:N/I:P/A:N","cpe:2.3:a:bestwebsoft:contact_form:1.3.4:*:*:*:*:wordpress:*:*"
"Modified","CVE-2014-125096","CWE-79",,,,,"cna@vuldb.com" "nvd@nist.gov",3.5 6.1,"LOW" "MEDIUM","CVSS:3.1/AV:N/AC:L/PR:L/UI:R/S:U/C:N/I:L/A:N" "CVSS:3.1/AV:N/AC:L/PR:N/UI:R/S:C/C:L/I:L/A:N",,,,,"cna@vuldb.com",4,LOW,"AV:N/AC:L/Au:S/C:N/I:P/A:N","cpe:2.3:a:fancy_gallery_project:fancy_gallery:*:*:*:*:*:wordpress:*:*"
"Modified","CVE-2014-125097","CWE-79",,,,,"cna@vuldb.com" "nvd@nist.gov",3.5 6.1,"LOW" "MEDIUM","CVSS:3.1/AV:N/AC:L/PR:L/UI:R/S:U/C:N/I:L/A:N" "CVSS:3.1/AV:N/AC:L/PR:N/UI:R/S:C/C:L/I:L/A:N",,,,,"cna@vuldb.com",4,LOW,"AV:N/AC:L/Au:S/C:N/I:P/A:N","cpe:2.3:a:bestwebsoft:facebook_button:*:*:*:*:*:wordpress:*:*"
"Modified","CVE-2014-125098","CWE-79",,,,,"cna@vuldb.com" "nvd@nist.gov",4.3 6.1,"MEDIUM" "MEDIUM","CVSS:3.1/AV:N/AC:L/PR:N/UI:R/S:U/C:N/I:L/A:N" "CVSS:3.1/AV:N/AC:L/PR:N/UI:R/S:C/C:L/I:L/A:N",,,,,"cna@vuldb.com",5,MEDIUM,"AV:N/AC:L/Au:N/C:N/I:P/A:N","cpe:2.3:a:dart:http_server:*:*:*:*:*:*:*:*"
"Modified","CVE-2014-125099","CWE-89",,,,,"cna@vuldb.com" "nvd@nist.gov",6.3 9.8,"MEDIUM" "CRITICAL","CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:U/C:L/I:L/A:L" "CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H",,,,,"cna@vuldb.com",6.5,MEDIUM,"AV:N/AC:L/Au:S/C:P/I:P/A:P","cpe:2.3:a:themeist:i_recommend_this:*:*:*:*:*:wordpress:*:*"
"Modified","CVE-2015-10098","CWE-79",,,,,"cna@vuldb.com" "nvd@nist.gov",3.5 6.1,"LOW" "MEDIUM","CVSS:3.1/AV:N/AC:L/PR:L/UI:R/S:U/C:N/I:L/A:N" "CVSS:3.1/AV:N/AC:L/PR:N/UI:R/S:C/C:L/I:L/A:N",,,,,"cna@vuldb.com",4,LOW,"AV:N/AC:L/Au:S/C:N/I:P/A:N","cpe:2.3:a:wpmudev:broken_link_checker:*:*:*:*:*:wordpress:*:*"
"Modified","CVE-2015-10099","CWE-89",,,,,"cna@vuldb.com" "nvd@nist.gov",6.3 9.8,"MEDIUM" "CRITICAL","CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:U/C:L/I:L/A:L" "CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H",,,,,"cna@vuldb.com",6.5,MEDIUM,"AV:N/AC:L/Au:S/C:P/I:P/A:P","cpe:2.3:a:codepeople:cp_appointment_calendar:*:*:*:*:*:wordpress:*:*"
"Modified","CVE-2015-10100","CWE-89",,,,,"cna@vuldb.com" "nvd@nist.gov",6.3 9.8,"MEDIUM" "CRITICAL","CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:U/C:L/I:L/A:L" "CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H",,,,,"cna@vuldb.com",6.5,MEDIUM,"AV:N/AC:L/Au:S/C:P/I:P/A:P","cpe:2.3:a:vivwebsolutions:dynamic_widgets:*:*:*:*:*:wordpress:*:*"
"Modified","CVE-2015-10101","CWE-79",,,,,"cna@vuldb.com" "nvd@nist.gov",3.5 6.1,"LOW" "MEDIUM","CVSS:3.1/AV:N/AC:L/PR:L/UI:R/S:U/C:N/I:L/A:N" "CVSS:3.1/AV:N/AC:L/PR:N/UI:R/S:C/C:L/I:L/A:N",,,,,"cna@vuldb.com",4,LOW,"AV:N/AC:L/Au:S/C:N/I:P/A:N","cpe:2.3:a:google_analytics_top_content_widget_project:google_analytics_top_content_widget:*:*:*:*:*:wordpress:*:*"
"Modified","CVE-2015-10102","CWE-601",,,,,"cna@vuldb.com" "nvd@nist.gov",6.3 6.1,"MEDIUM" "MEDIUM","CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:U/C:L/I:L/A:L" "CVSS:3.1/AV:N/AC:L/PR:N/UI:R/S:C/C:L/I:L/A:N",,,,,"cna@vuldb.com",6.5,MEDIUM,"AV:N/AC:L/Au:S/C:P/I:P/A:P","cpe:2.3:a:freshworks:freshdesk:1.7:*:*:*:*:wordpress:*:*"
"Modified","CVE-2015-10103","CWE-835",,,,,"cna@vuldb.com" "nvd@nist.gov",2.8 5.5,"LOW" "MEDIUM","CVSS:3.1/AV:L/AC:L/PR:L/UI:R/S:U/C:N/I:N/A:L" "CVSS:3.1/AV:L/AC:L/PR:L/UI:N/S:U/C:N/I:N/A:H",,,,,"cna@vuldb.com",1.7,LOW,"AV:L/AC:L/Au:S/C:N/I:N/A:P","cpe:2.3:a:forget_it_project:forget_it:*:*:*:*:*:*:*:*"
"Modified","CVE-2018-15472","NVD-CWE-noinfo",,,,,"nvd@nist.gov",7.5,"HIGH","CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H",,,,,,,,,"cpe:2.3:a:gitlab:gitlab:*:*:*:*:community:*:*:*" "cpe:2.3:a:gitlab:gitlab:*:*:*:*:enterprise:*:*:*" "cpe:2.3:a:gitlab:gitlab:*:*:*:*:community:*:*:*" "cpe:2.3:a:gitlab:gitlab:*:*:*:*:enterprise:*:*:*" "cpe:2.3:a:gitlab:gitlab:11.3.0:*:*:*:community:*:*:*" "cpe:2.3:a:gitlab:gitlab:11.3.0:*:*:*:enterprise:*:*:*"
"Modified","CVE-2018-17449","CWE-639",,,,,"nvd@nist.gov",7.5,"HIGH","CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:N/A:N",,,,,,,,,"cpe:2.3:a:gitlab:gitlab:*:*:*:*:community:*:*:*" "cpe:2.3:a:gitlab:gitlab:*:*:*:*:enterprise:*:*:*" "cpe:2.3:a:gitlab:gitlab:*:*:*:*:community:*:*:*" "cpe:2.3:a:gitlab:gitlab:*:*:*:*:enterprise:*:*:*" "cpe:2.3:a:gitlab:gitlab:11.3.0:*:*:*:community:*:*:*" "cpe:2.3:a:gitlab:gitlab:11.3.0:*:*:*:enterprise:*:*:*"
"Modified","CVE-2018-17450","CWE-918",,,,,"nvd@nist.gov",4.3,"MEDIUM","CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:U/C:L/I:N/A:N",,,,,,,,,"cpe:2.3:a:gitlab:gitlab:*:*:*:*:community:*:*:*" "cpe:2.3:a:gitlab:gitlab:*:*:*:*:enterprise:*:*:*" "cpe:2.3:a:gitlab:gitlab:*:*:*:*:community:*:*:*" "cpe:2.3:a:gitlab:gitlab:*:*:*:*:enterprise:*:*:*" "cpe:2.3:a:gitlab:gitlab:11.3.0:*:*:*:community:*:*:*" "cpe:2.3:a:gitlab:gitlab:11.3.0:*:*:*:enterprise:*:*:*"
"Modified","CVE-2018-17451","CWE-352",,,,,"nvd@nist.gov",8.8,"HIGH","CVSS:3.1/AV:N/AC:L/PR:N/UI:R/S:U/C:H/I:H/A:H",,,,,,,,,"cpe:2.3:a:gitlab:gitlab:*:*:*:*:community:*:*:*" "cpe:2.3:a:gitlab:gitlab:*:*:*:*:enterprise:*:*:*" "cpe:2.3:a:gitlab:gitlab:*:*:*:*:community:*:*:*" "cpe:2.3:a:gitlab:gitlab:*:*:*:*:enterprise:*:*:*" "cpe:2.3:a:gitlab:gitlab:11.3.0:*:*:*:community:*:*:*" "cpe:2.3:a:gitlab:gitlab:11.3.0:*:*:*:enterprise:*:*:*"
"Modified","CVE-2018-17452","CWE-918",,,,,"nvd@nist.gov",9.8,"CRITICAL","CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H",,,,,,,,,"cpe:2.3:a:gitlab:gitlab:*:*:*:*:community:*:*:*" "cpe:2.3:a:gitlab:gitlab:*:*:*:*:enterprise:*:*:*" "cpe:2.3:a:gitlab:gitlab:*:*:*:*:community:*:*:*" "cpe:2.3:a:gitlab:gitlab:*:*:*:*:enterprise:*:*:*" "cpe:2.3:a:gitlab:gitlab:11.3.0:*:*:*:community:*:*:*" "cpe:2.3:a:gitlab:gitlab:11.3.0:*:*:*:enterprise:*:*:*"
"Modified","CVE-2018-17453","NVD-CWE-noinfo",,,,,"nvd@nist.gov",5.3,"MEDIUM","CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:L/I:N/A:N",,,,,,,,,"cpe:2.3:a:gitlab:gitlab:*:*:*:*:community:*:*:*" "cpe:2.3:a:gitlab:gitlab:*:*:*:*:enterprise:*:*:*" "cpe:2.3:a:gitlab:gitlab:*:*:*:*:community:*:*:*" "cpe:2.3:a:gitlab:gitlab:*:*:*:*:enterprise:*:*:*" "cpe:2.3:a:gitlab:gitlab:11.3.0:*:*:*:community:*:*:*" "cpe:2.3:a:gitlab:gitlab:11.3.0:*:*:*:enterprise:*:*:*"
"Modified","CVE-2018-17454","CWE-79",,,,,"nvd@nist.gov",5.4,"MEDIUM","CVSS:3.1/AV:N/AC:L/PR:L/UI:R/S:C/C:L/I:L/A:N",,,,,,,,,"cpe:2.3:a:gitlab:gitlab:*:*:*:*:community:*:*:*" "cpe:2.3:a:gitlab:gitlab:*:*:*:*:enterprise:*:*:*" "cpe:2.3:a:gitlab:gitlab:*:*:*:*:community:*:*:*" "cpe:2.3:a:gitlab:gitlab:*:*:*:*:enterprise:*:*:*" "cpe:2.3:a:gitlab:gitlab:11.3.0:*:*:*:community:*:*:*" "cpe:2.3:a:gitlab:gitlab:11.3.0:*:*:*:enterprise:*:*:*"
"Modified","CVE-2018-17455","CWE-639",,,,,"nvd@nist.gov",7.5,"HIGH","CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:N/A:N",,,,,,,,,"cpe:2.3:a:gitlab:gitlab:*:*:*:*:community:*:*:*" "cpe:2.3:a:gitlab:gitlab:*:*:*:*:enterprise:*:*:*" "cpe:2.3:a:gitlab:gitlab:*:*:*:*:community:*:*:*" "cpe:2.3:a:gitlab:gitlab:*:*:*:*:enterprise:*:*:*" "cpe:2.3:a:gitlab:gitlab:11.3.0:*:*:*:community:*:*:*" "cpe:2.3:a:gitlab:gitlab:11.3.0:*:*:*:enterprise:*:*:*"
"Modified","CVE-2018-17536","CWE-79",,,,,"nvd@nist.gov",5.4,"MEDIUM","CVSS:3.1/AV:N/AC:L/PR:L/UI:R/S:C/C:L/I:L/A:N",,,,,,,,,"cpe:2.3:a:gitlab:gitlab:*:*:*:*:community:*:*:*" "cpe:2.3:a:gitlab:gitlab:*:*:*:*:enterprise:*:*:*" "cpe:2.3:a:gitlab:gitlab:*:*:*:*:community:*:*:*" "cpe:2.3:a:gitlab:gitlab:*:*:*:*:enterprise:*:*:*" "cpe:2.3:a:gitlab:gitlab:11.3.0:*:*:*:community:*:*:*" "cpe:2.3:a:gitlab:gitlab:11.3.0:*:*:*:enterprise:*:*:*"
"Modified","CVE-2018-17537","CWE-79",,,,,"nvd@nist.gov",5.4,"MEDIUM","CVSS:3.1/AV:N/AC:L/PR:L/UI:R/S:C/C:L/I:L/A:N",,,,,,,,,"cpe:2.3:a:gitlab:gitlab:*:*:*:*:community:*:*:*" "cpe:2.3:a:gitlab:gitlab:*:*:*:*:enterprise:*:*:*" "cpe:2.3:a:gitlab:gitlab:*:*:*:*:community:*:*:*" "cpe:2.3:a:gitlab:gitlab:*:*:*:*:enterprise:*:*:*" "cpe:2.3:a:gitlab:gitlab:11.3.0:*:*:*:community:*:*:*" "cpe:2.3:a:gitlab:gitlab:11.3.0:*:*:*:enterprise:*:*:*"
"Modified","CVE-2018-17883","CWE-79",,,,,"nvd@nist.gov",6.1,"MEDIUM","CVSS:3.1/AV:N/AC:L/PR:N/UI:R/S:C/C:L/I:L/A:N",,,,,,,,,"cpe:2.3:a:otrs:otrs:*:*:*:*:*:*:*:*"
"Modified","CVE-2018-25084","CWE-79" "CWE-79",,,,,"cna@vuldb.com" "nvd@nist.gov",3.5 6.1,"LOW" "MEDIUM","CVSS:3.1/AV:N/AC:L/PR:L/UI:R/S:U/C:N/I:L/A:N" "CVSS:3.1/AV:N/AC:L/PR:N/UI:R/S:C/C:L/I:L/A:N",,,,,"cna@vuldb.com",4,LOW,"AV:N/AC:L/Au:S/C:N/I:P/A:N","cpe:2.3:a:pingidentity:self-service_account_manager:1.1.2:*:*:*:*:*:*:*"
"Modified","CVE-2019-14942","CWE-319",,,,,"nvd@nist.gov",5.9,"MEDIUM","CVSS:3.1/AV:N/AC:H/PR:N/UI:N/S:U/C:H/I:N/A:N",,,,,,,,,"cpe:2.3:a:gitlab:gitlab:*:*:*:*:community:*:*:*" "cpe:2.3:a:gitlab:gitlab:*:*:*:*:enterprise:*:*:*" "cpe:2.3:a:gitlab:gitlab:*:*:*:*:community:*:*:*" "cpe:2.3:a:gitlab:gitlab:*:*:*:*:enterprise:*:*:*" "cpe:2.3:a:gitlab:gitlab:*:*:*:*:community:*:*:*" "cpe:2.3:a:gitlab:gitlab:*:*:*:*:enterprise:*:*:*"
"Modified","CVE-2019-14944","CWE-77",,,,,"nvd@nist.gov",6.5,"MEDIUM","CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:L/A:L",,,,,,,,,"cpe:2.3:a:gitlab:gitlab:*:*:*:*:community:*:*:*" "cpe:2.3:a:gitlab:gitlab:*:*:*:*:enterprise:*:*:*" "cpe:2.3:a:gitlab:gitlab:*:*:*:*:community:*:*:*" "cpe:2.3:a:gitlab:gitlab:*:*:*:*:enterprise:*:*:*" "cpe:2.3:a:gitlab:gitlab:*:*:*:*:community:*:*:*" "cpe:2.3:a:gitlab:gitlab:*:*:*:*:enterprise:*:*:*"
"Modified","CVE-2020-11935","CWE-911" "NVD-CWE-Other",,,,,"security@ubuntu.com" "nvd@nist.gov",4.4 5.5,"MEDIUM" "MEDIUM","CVSS:3.1/AV:L/AC:L/PR:H/UI:N/S:U/C:N/I:N/A:H" "CVSS:3.1/AV:L/AC:L/PR:L/UI:N/S:U/C:N/I:N/A:H",,,,,,,,,"cpe:2.3:o:canonical:ubuntu_linux:14.04:*:*:*:esm:*:*:*" "cpe:2.3:o:canonical:ubuntu_linux:16.04:*:*:*:esm:*:*:*" "cpe:2.3:o:canonical:ubuntu_linux:18.04:*:*:*:lts:*:*:*" "cpe:2.3:o:canonical:ubuntu_linux:20.04:*:*:*:lts:*:*:*" "cpe:2.3:o:debian:debian_linux:10.0:*:*:*:*:*:*:*"
"Modified","CVE-2020-17354","CWE-863",,,,,"nvd@nist.gov",8.6,"HIGH","CVSS:3.1/AV:L/AC:L/PR:N/UI:R/S:C/C:H/I:H/A:H",,,,,,,,,"cpe:2.3:a:lilypond:lilypond:*:*:*:*:*:*:*:*"
"Modified","CVE-2020-19277","CWE-79",,,,,"nvd@nist.gov",5.4,"MEDIUM","CVSS:3.1/AV:N/AC:L/PR:L/UI:R/S:C/C:L/I:L/A:N",,,,,,,,,"cpe:2.3:a:mm-wiki_project:mm-wiki:0.1.2:*:*:*:*:*:*:*"
"Modified","CVE-2020-19278","CWE-352",,,,,"nvd@nist.gov",8.8,"HIGH","CVSS:3.1/AV:N/AC:L/PR:N/UI:R/S:U/C:H/I:H/A:H",,,,,,,,,"cpe:2.3:a:mm-wiki_project:mm-wiki:0.1.2:*:*:*:*:*:*:*"
"Modified","CVE-2020-19279","CWE-22",,,,,"nvd@nist.gov",9.8,"CRITICAL","CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H",,,,,,,,,"cpe:2.3:a:wide_project:wide:-:*:*:*:*:go:*:*"
"Modified","CVE-2020-19678","CWE-22",,,,,"nvd@nist.gov",7.5,"HIGH","CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:N/A:N",,,,,,,,,"cpe:2.3:a:oisf:suricata:1.4.6:*:*:*:*:*:*:*" "cpe:2.3:a:pfsense:pfsense:2.1.3:*:*:*:*:*:*:*" "cpe:2.3:a:pfsense:suricata_package:1.0.1:*:*:*:*:*:*:*"
"Modified","CVE-2020-19692","CWE-120",,,,,"nvd@nist.gov",9.8,"CRITICAL","CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H",,,,,,,,,"cpe:2.3:a:nginx:njs:2019-06-27:*:*:*:*:*:*:*"
"Modified","CVE-2020-19693","CWE-787",,,,,"nvd@nist.gov",9.8,"CRITICAL","CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H",,,,,,,,,"cpe:2.3:o:espruino:espruino:2019-06-28:*:*:*:*:*:*:*"
"Modified","CVE-2020-19695","CWE-120",,,,,"nvd@nist.gov",9.8,"CRITICAL","CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H",,,,,,,,,"cpe:2.3:a:nginx:njs:*:*:*:*:*:*:*:*" "cpe:2.3:a:nginx:njs:2019-06-27:*:*:*:*:*:*:*"
"Modified","CVE-2020-19697","CWE-79",,,,,"nvd@nist.gov",6.1,"MEDIUM","CVSS:3.1/AV:N/AC:L/PR:N/UI:R/S:C/C:L/I:L/A:N",,,,,,,,,"cpe:2.3:a:ipandao:editor.md:1.5.0:*:*:*:*:*:*:*"
"Modified","CVE-2020-19698","CWE-79",,,,,"nvd@nist.gov",6.1,"MEDIUM","CVSS:3.1/AV:N/AC:L/PR:N/UI:R/S:C/C:L/I:L/A:N",,,,,,,,,"cpe:2.3:a:ipandao:editor.md:1.5.0:*:*:*:*:*:*:*"
"Modified","CVE-2020-19699","CWE-79",,,,,"nvd@nist.gov",6.1,"MEDIUM","CVSS:3.1/AV:N/AC:L/PR:N/UI:R/S:C/C:L/I:L/A:N",,,,,,,,,"cpe:2.3:a:kiftd_project:kiftd:1.0.18:*:*:*:*:*:*:*"
"Modified","CVE-2020-19802","CWE-434",,,,,"nvd@nist.gov",9.8,"CRITICAL","CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H",,,,,,,,,"cpe:2.3:a:doyocms_project:doyocms:2.3:-:*:*:*:*:*:*"
"Modified","CVE-2020-19803","CWE-352",,,,,"nvd@nist.gov",8.8,"HIGH","CVSS:3.1/AV:N/AC:L/PR:N/UI:R/S:U/C:H/I:H/A:H",,,,,,,,,"cpe:2.3:a:doyocms_project:doyocms:2.3:-:*:*:*:*:*:*"
"Modified","CVE-2020-19850","CWE-400",,,,,"nvd@nist.gov",6.5,"MEDIUM","CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:U/C:N/I:N/A:H",,,,,,,,,"cpe:2.3:a:monospace:directus:2.2.0:*:*:*:*:-:*:*"
"Modified","CVE-2020-20521","CWE-79",,,,,"nvd@nist.gov",6.1,"MEDIUM","CVSS:3.1/AV:N/AC:L/PR:N/UI:R/S:C/C:L/I:L/A:N",,,,,,,,,"cpe:2.3:a:kitesky:kitecms:1.1.1:*:*:*:*:*:*:*"
"Modified","CVE-2020-20522","CWE-79",,,,,"nvd@nist.gov",6.1,"MEDIUM","CVSS:3.1/AV:N/AC:L/PR:N/UI:R/S:C/C:L/I:L/A:N",,,,,,,,,"cpe:2.3:a:kitesky:kitecms:1.1:*:*:*:*:*:*:*"
