"Modified","CVE-2020-8108","CWE-287" "CWE-287",,,,,"cve-requests@bitdefender.com" "nvd@nist.gov",8.2 8.8,"HIGH" "HIGH","CVSS:3.1/AV:L/AC:L/PR:L/UI:R/S:C/C:H/I:H/A:H" "CVSS:3.1/AV:L/AC:L/PR:L/UI:N/S:C/C:H/I:H/A:H",,,,,"nvd@nist.gov",4.6,MEDIUM,"AV:L/AC:L/Au:N/C:P/I:P/A:P","cpe:2.3:a:bitdefender:endpoint_security:*:*:*:*:*:macos:*:*"
"Modified","CVE-2020-4554","CWE-787",,,,,"nvd@nist.gov",7.8,"HIGH","CVSS:3.1/AV:L/AC:L/PR:N/UI:R/S:U/C:H/I:H/A:H","psirt@us.ibm.com",7.8,"HIGH","CVSS:3.0/AV:L/AC:L/PR:N/UI:R/S:U/C:H/I:H/A:H","nvd@nist.gov",6.9,MEDIUM,"AV:L/AC:M/Au:N/C:C/I:C/A:C","cpe:2.3:a:ibm:i2_analysts_notebook:9.2.1:*:*:*:-:*:*:*" "cpe:2.3:a:ibm:i2_analysts_notebook:9.2.1:*:*:*:premium:*:*:*" "cpe:2.3:a:ibm:i2_analysts_notebook:9.2.2:*:*:*:-:*:*:*" "cpe:2.3:a:ibm:i2_analysts_notebook:9.2.2:*:*:*:premium:*:*:*"
"Modified","CVE-2020-4560","CWE-79",,,,,"nvd@nist.gov",6.1,"MEDIUM","CVSS:3.1/AV:N/AC:L/PR:N/UI:R/S:C/C:L/I:L/A:N","psirt@us.ibm.com",4.7,"MEDIUM","CVSS:3.0/AV:N/AC:H/PR:N/UI:R/S:C/C:L/I:L/A:N","nvd@nist.gov",4.3,MEDIUM,"AV:N/AC:M/Au:N/C:N/I:P/A:N","cpe:2.3:a:ibm:financial_transaction_manager:3.2.4.0:*:*:*:*:*:*:*"
"Modified","CVE-2019-19453","CWE-79",,,,,"nvd@nist.gov",5.4,"MEDIUM","CVSS:3.1/AV:N/AC:L/PR:L/UI:R/S:C/C:L/I:L/A:N",,,,,"nvd@nist.gov",3.5,LOW,"AV:N/AC:M/Au:S/C:N/I:P/A:N","cpe:2.3:a:wowza:streaming_engine:*:*:*:*:*:*:*:*"
"Modified","CVE-2019-19455","CWE-732",,,,,"nvd@nist.gov",7.8,"HIGH","CVSS:3.1/AV:L/AC:L/PR:L/UI:N/S:U/C:H/I:H/A:H",,,,,"nvd@nist.gov",7.2,HIGH,"AV:L/AC:L/Au:N/C:C/I:C/A:C","cpe:2.3:a:wowza:streaming_engine:*:*:*:*:*:*:*:*"
"Modified","CVE-2015-9549","CWE-79",,,,,"nvd@nist.gov",6.1,"MEDIUM","CVSS:3.1/AV:N/AC:L/PR:N/UI:R/S:C/C:L/I:L/A:N",,,,,"nvd@nist.gov",4.3,MEDIUM,"AV:N/AC:M/Au:N/C:N/I:P/A:N","cpe:2.3:a:ocportal:ocportal:9.0.20:*:*:*:*:*:*:*"
"Modified","CVE-2020-16269","NVD-CWE-noinfo",,,,,"nvd@nist.gov",5.5,"MEDIUM","CVSS:3.1/AV:L/AC:L/PR:N/UI:R/S:U/C:N/I:N/A:H",,,,,"nvd@nist.gov",4.3,MEDIUM,"AV:N/AC:M/Au:N/C:N/I:N/A:P","cpe:2.3:a:radare:radare2:4.5.0:*:*:*:*:*:*:*" "cpe:2.3:o:fedoraproject:fedora:32:*:*:*:*:*:*:*" "cpe:2.3:o:fedoraproject:fedora:33:*:*:*:*:*:*:*"
"Modified","CVE-2020-12739","CWE-400",,,,,"nvd@nist.gov",5.3,"MEDIUM","CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:L",,,,,"nvd@nist.gov",5,MEDIUM,"AV:N/AC:L/Au:N/C:N/I:N/A:P","cpe:2.3:o:fanuc:series_30i_firmware:-:*:*:*:*:*:*:*" "cpe:2.3:h:fanuc:series_30i:-:*:*:*:*:*:*:*" "cpe:2.3:o:fanuc:series_31i_firmware:-:*:*:*:*:*:*:*" "cpe:2.3:h:fanuc:series_31i:-:*:*:*:*:*:*:*" "cpe:2.3:o:fanuc:series_32i-b_plus_firmware:-:*:*:*:*:*:*:*" "cpe:2.3:h:fanuc:series_32i-b_plus:-:*:*:*:*:*:*:*" "cpe:2.3:o:fanuc:series_35i-b_firmware:-:*:*:*:*:*:*:*" "cpe:2.3:h:fanuc:series_35i-b:-:*:*:*:*:*:*:*" "cpe:2.3:o:fanuc:power_motion_i-model_a_firmware:-:*:*:*:*:*:*:*" "cpe:2.3:h:fanuc:power_motion_i-model_a:-:*:*:*:*:*:*:*" "cpe:2.3:o:fanuc:series_0i-model_f_plus_firmware:-:*:*:*:*:*:*:*" "cpe:2.3:h:fanuc:series_0i-model_f_plus:-:*:*:*:*:*:*:*" "cpe:2.3:o:fanuc:series_0i-model_f_firmware:-:*:*:*:*:*:*:*" "cpe:2.3:h:fanuc:series_0i-model_f:-:*:*:*:*:*:*:*" "cpe:2.3:o:fanuc:series_32i-model_a_firmware:-:*:*:*:*:*:*:*" "cpe:2.3:h:fanuc:series_32i-model_a:-:*:*:*:*:*:*:*" "cpe:2.3:o:fanuc:series_0i-model_d_firmware:-:*:*:*:*:*:*:*" "cpe:2.3:h:fanuc:series_0i-model_d:-:*:*:*:*:*:*:*" "cpe:2.3:o:fanuc:series_0i-mate_d_firmware:-:*:*:*:*:*:*:*" "cpe:2.3:h:fanuc:series_0i-mate_d:-:*:*:*:*:*:*:*" "cpe:2.3:o:fanuc:series_0i-model_c_firmware:-:*:*:*:*:*:*:*" "cpe:2.3:h:fanuc:series_0i-model_c:-:*:*:*:*:*:*:*" "cpe:2.3:o:fanuc:series_16i_firmware:-:*:*:*:*:*:*:*" "cpe:2.3:h:fanuc:series_16i:-:*:*:*:*:*:*:*" "cpe:2.3:o:fanuc:series_18i_firmware:-:*:*:*:*:*:*:*" "cpe:2.3:h:fanuc:series_18i:-:*:*:*:*:*:*:*" "cpe:2.3:o:fanuc:series_21i-model_b_firmware:-:*:*:*:*:*:*:*" "cpe:2.3:h:fanuc:series_21i-model_b:-:*:*:*:*:*:*:*" "cpe:2.3:o:fanuc:series_0i-model_b_firmware:-:*:*:*:*:*:*:*" "cpe:2.3:h:fanuc:series_0i-model_b:-:*:*:*:*:*:*:*" "cpe:2.3:o:fanuc:series_18i-wb_firmware:-:*:*:*:*:*:*:*" "cpe:2.3:h:fanuc:series_18i-wb:-:*:*:*:*:*:*:*"
"Modified","CVE-2020-13820","CWE-79",,,,,"nvd@nist.gov",6.1,"MEDIUM","CVSS:3.1/AV:N/AC:L/PR:N/UI:R/S:C/C:L/I:L/A:N",,,,,"nvd@nist.gov",4.3,MEDIUM,"AV:N/AC:M/Au:N/C:N/I:P/A:N","cpe:2.3:a:extremenetworks:extreme_management_center:8.4.1.24:*:*:*:*:*:*:*"
"Modified","CVE-2020-14319","CWE-352",,,,,"nvd@nist.gov",5.9,"MEDIUM","CVSS:3.1/AV:N/AC:H/PR:N/UI:R/S:U/C:N/I:L/A:H",,,,,"nvd@nist.gov",4,LOW,"AV:N/AC:H/Au:N/C:N/I:P/A:P","cpe:2.3:a:redhat:amq_online:*:*:*:*:*:*:*:*" "cpe:2.3:a:redhat:enmasse:*:*:*:*:*:*:*:*"
"Modified","CVE-2020-16131","CWE-79",,,,,"nvd@nist.gov",6.1,"MEDIUM","CVSS:3.1/AV:N/AC:L/PR:N/UI:R/S:C/C:L/I:L/A:N",,,,,"nvd@nist.gov",4.3,MEDIUM,"AV:N/AC:M/Au:N/C:N/I:P/A:N","cpe:2.3:a:tiki:tiki:*:*:*:*:*:*:*:*"
"Modified","CVE-2020-16271","CWE-330",,,,,"nvd@nist.gov",9.1,"CRITICAL","CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:N",,,,,"nvd@nist.gov",6.4,MEDIUM,"AV:N/AC:L/Au:N/C:P/I:P/A:N","cpe:2.3:a:kee:keepassrpc:*:*:*:*:*:*:*:*"
"Modified","CVE-2020-16272","CWE-20",,,,,"nvd@nist.gov",9.1,"CRITICAL","CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:N",,,,,"nvd@nist.gov",6.4,MEDIUM,"AV:N/AC:L/Au:N/C:P/I:P/A:N","cpe:2.3:a:kee:keepassrpc:*:*:*:*:*:*:*:*"
"Modified","CVE-2020-8574","NVD-CWE-noinfo",,,,,"nvd@nist.gov",7.8,"HIGH","CVSS:3.1/AV:L/AC:L/PR:L/UI:N/S:U/C:H/I:H/A:H",,,,,"nvd@nist.gov",4.6,MEDIUM,"AV:L/AC:L/Au:N/C:P/I:P/A:P","cpe:2.3:a:netapp:active_iq_unified_manager:*:*:*:*:*:linux:*:*"
"Modified","CVE-2020-8575","NVD-CWE-noinfo",,,,,"nvd@nist.gov",4.4,"MEDIUM","CVSS:3.1/AV:L/AC:L/PR:H/UI:N/S:U/C:N/I:N/A:H",,,,,"nvd@nist.gov",2.1,LOW,"AV:L/AC:L/Au:N/C:N/I:N/A:P","cpe:2.3:a:netapp:active_iq_unified_manager:*:*:*:*:*:vsphere:*:*" "cpe:2.3:a:netapp:active_iq_unified_manager:*:*:*:*:*:windows:*:*"
"Modified","CVE-2020-16116","CWE-22",,,,,"nvd@nist.gov",3.3,"LOW","CVSS:3.1/AV:L/AC:L/PR:N/UI:R/S:U/C:N/I:L/A:N",,,,,"nvd@nist.gov",4.3,MEDIUM,"AV:N/AC:M/Au:N/C:N/I:P/A:N","cpe:2.3:a:kde:ark:*:*:*:*:*:*:*:*" "cpe:2.3:o:debian:debian_linux:9.0:*:*:*:*:*:*:*" "cpe:2.3:o:debian:debian_linux:10.0:*:*:*:*:*:*:*" "cpe:2.3:o:fedoraproject:fedora:31:*:*:*:*:*:*:*" "cpe:2.3:o:fedoraproject:fedora:32:*:*:*:*:*:*:*" "cpe:2.3:o:opensuse:leap:15.1:*:*:*:*:*:*:*" "cpe:2.3:o:opensuse:leap:15.2:*:*:*:*:*:*:*" "cpe:2.3:o:canonical:ubuntu_linux:18.04:*:*:*:lts:*:*:*" "cpe:2.3:o:canonical:ubuntu_linux:20.04:*:*:*:lts:*:*:*"
"Modified","CVE-2020-5770","CWE-352",,,,,"nvd@nist.gov",8.8,"HIGH","CVSS:3.1/AV:N/AC:L/PR:N/UI:R/S:U/C:H/I:H/A:H",,,,,"nvd@nist.gov",6.8,MEDIUM,"AV:N/AC:M/Au:N/C:P/I:P/A:P","cpe:2.3:o:teltonika-networks:trb245_firmware:00.02.04.01:*:*:*:*:*:*:*" "cpe:2.3:h:teltonika-networks:trb245:-:*:*:*:*:*:*:*"
"Modified","CVE-2020-5771","CWE-20",,,,,"nvd@nist.gov",7.5,"HIGH","CVSS:3.1/AV:N/AC:H/PR:L/UI:N/S:U/C:H/I:H/A:H",,,,,"nvd@nist.gov",7.1,HIGH,"AV:N/AC:H/Au:S/C:C/I:C/A:C","cpe:2.3:o:teltonika-networks:trb245_firmware:00.02.04.01:*:*:*:*:*:*:*" "cpe:2.3:h:teltonika-networks:trb245:-:*:*:*:*:*:*:*"
"Modified","CVE-2020-5772","CWE-494",,,,,"nvd@nist.gov",7.5,"HIGH","CVSS:3.1/AV:N/AC:H/PR:L/UI:N/S:U/C:H/I:H/A:H",,,,,"nvd@nist.gov",7.1,HIGH,"AV:N/AC:H/Au:S/C:C/I:C/A:C","cpe:2.3:o:teltonika-networks:trb245_firmware:00.02.04.01:*:*:*:*:*:*:*" "cpe:2.3:h:teltonika-networks:trb245:-:*:*:*:*:*:*:*"
"Modified","CVE-2020-5773","CWE-269",,,,,"nvd@nist.gov",8.8,"HIGH","CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:U/C:H/I:H/A:H",,,,,"nvd@nist.gov",6.5,MEDIUM,"AV:N/AC:L/Au:S/C:P/I:P/A:P","cpe:2.3:o:teltonika-networks:trb245_firmware:00.02.04.01:*:*:*:*:*:*:*" "cpe:2.3:h:teltonika-networks:trb245:-:*:*:*:*:*:*:*"
"Modified","CVE-2020-11583","CWE-79",,,,,"nvd@nist.gov",6.1,"MEDIUM","CVSS:3.1/AV:N/AC:L/PR:N/UI:R/S:C/C:L/I:L/A:N",,,,,"nvd@nist.gov",4.3,MEDIUM,"AV:N/AC:M/Au:N/C:N/I:P/A:N","cpe:2.3:a:plesk:obsidian:18.0.17:*:*:*:*:*:*:*" "cpe:2.3:o:microsoft:windows:-:*:*:*:*:*:*:*"
"Modified","CVE-2020-11584","CWE-79",,,,,"nvd@nist.gov",6.1,"MEDIUM","CVSS:3.1/AV:N/AC:L/PR:N/UI:R/S:C/C:L/I:L/A:N",,,,,"nvd@nist.gov",4.3,MEDIUM,"AV:N/AC:M/Au:N/C:N/I:P/A:N","cpe:2.3:a:plesk:onyx:17.8.11:*:*:*:*:*:*:*" "cpe:2.3:o:linux:linux_kernel:-:*:*:*:*:*:*:*"
"Modified","CVE-2020-5615","CWE-352",,,,,"nvd@nist.gov",8.8,"HIGH","CVSS:3.1/AV:N/AC:L/PR:N/UI:R/S:U/C:H/I:H/A:H",,,,,"nvd@nist.gov",6.8,MEDIUM,"AV:N/AC:M/Au:N/C:P/I:P/A:P","cpe:2.3:a:calendar01_project:calendar01:1.0.0:*:*:*:free:*:*:*" "cpe:2.3:a:calendar02_project:calendar02:1.0.0:*:*:*:free:*:*:*"
"Modified","CVE-2020-5616","CWE-287",,,,,"nvd@nist.gov",9.8,"CRITICAL","CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H",,,,,"nvd@nist.gov",7.5,HIGH,"AV:N/AC:L/Au:N/C:P/I:P/A:P","cpe:2.3:a:calendar01_project:calendar01:1.0.0:*:*:*:free:*:*:*" "cpe:2.3:a:calendar02_project:calendar02:1.0.0:*:*:*:free:*:*:*" "cpe:2.3:a:calendarform01_project:calendarform01:*:*:*:*:free:*:*:*" "cpe:2.3:a:gallery01_project:gallery01:*:*:*:*:free:*:*:*" "cpe:2.3:a:link01_project:link01:1.0.0:*:*:*:free:*:*:*" "cpe:2.3:a:pkobo-news01_project:pkobo-news01:*:*:*:*:free:*:*:*" "cpe:2.3:a:pkobo-vote01_project:pkobo-vote01:*:*:*:*:free:*:*:*" "cpe:2.3:a:telop01_project:telop01:1.0.0:*:*:*:free:*:*:*"
"Modified","CVE-2020-5617","CWE-269",,,,,"nvd@nist.gov",7.8,"HIGH","CVSS:3.1/AV:L/AC:L/PR:L/UI:N/S:U/C:H/I:H/A:H",,,,,"nvd@nist.gov",4.6,MEDIUM,"AV:L/AC:L/Au:N/C:P/I:P/A:P","cpe:2.3:a:skygroup:skysea_client_view:*:*:*:*:*:*:*:*"
"Modified","CVE-2019-20001","NVD-CWE-noinfo",,,,,"nvd@nist.gov",7.8,"HIGH","CVSS:3.1/AV:L/AC:L/PR:L/UI:N/S:U/C:H/I:H/A:H",,,,,"nvd@nist.gov",4.6,MEDIUM,"AV:L/AC:L/Au:N/C:P/I:P/A:P","cpe:2.3:a:ricoh:streamline_nx_client_tool:1.4.8:*:*:*:*:*:*:*" "cpe:2.3:a:ricoh:streamline_nx_pc_client:*:*:*:*:*:*:*:*" "cpe:2.3:a:ricoh:streamline_nx_pc_client:*:*:*:*:*:*:*:*"
"Modified","CVE-2020-15467","CWE-78",,,,,"nvd@nist.gov",8.8,"HIGH","CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:U/C:H/I:H/A:H",,,,,"nvd@nist.gov",9,HIGH,"AV:N/AC:L/Au:S/C:C/I:C/A:C","cpe:2.3:a:cohesive:vns3:*:*:*:*:*:*:*:*"
"Modified","CVE-2020-6012","CWE-59" "CWE-59",,,,,"nvd@nist.gov",7.4,"HIGH","CVSS:3.1/AV:L/AC:H/PR:N/UI:N/S:U/C:H/I:H/A:H",,,,,"nvd@nist.gov",4.4,MEDIUM,"AV:L/AC:M/Au:N/C:P/I:P/A:P","cpe:2.3:a:checkpoint:zonealarm_anti-ransomware:*:*:*:*:*:*:*:*"
"Modified","CVE-2020-7822","CWE-20" "CWE-787",,,,,"vuln@krcert.or.kr" "nvd@nist.gov",7.8 7.8,"HIGH" "HIGH","CVSS:3.1/AV:L/AC:L/PR:N/UI:R/S:U/C:H/I:H/A:H" "CVSS:3.1/AV:L/AC:L/PR:N/UI:R/S:U/C:H/I:H/A:H",,,,,"nvd@nist.gov",6.8,MEDIUM,"AV:N/AC:M/Au:N/C:P/I:P/A:P","cpe:2.3:a:hmtalk:daviewindy:*:*:*:*:*:*:*:*" "cpe:2.3:o:microsoft:windows:-:*:*:*:*:*:*:*"
"Modified","CVE-2020-7823","CWE-20" "CWE-787",,,,,"vuln@krcert.or.kr" "nvd@nist.gov",7.8 7.8,"HIGH" "HIGH","CVSS:3.1/AV:L/AC:L/PR:N/UI:R/S:U/C:H/I:H/A:H" "CVSS:3.1/AV:L/AC:L/PR:N/UI:R/S:U/C:H/I:H/A:H",,,,,"nvd@nist.gov",6.8,MEDIUM,"AV:N/AC:M/Au:N/C:P/I:P/A:P","cpe:2.3:a:hmtalk:daviewindy:*:*:*:*:*:*:*:*"
"Modified","CVE-2020-4396","CWE-79",,,,,"nvd@nist.gov",5.4,"MEDIUM","CVSS:3.1/AV:N/AC:L/PR:L/UI:R/S:C/C:L/I:L/A:N","psirt@us.ibm.com",5.4,"MEDIUM","CVSS:3.0/AV:N/AC:L/PR:L/UI:R/S:C/C:L/I:L/A:N","nvd@nist.gov",3.5,LOW,"AV:N/AC:M/Au:S/C:N/I:P/A:N","cpe:2.3:a:ibm:engineering_test_management:7.0.0:*:*:*:*:*:*:*"
"Modified","CVE-2020-4410","NVD-CWE-noinfo",,,,,"nvd@nist.gov",4.3,"MEDIUM","CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:U/C:L/I:N/A:N","psirt@us.ibm.com",4.3,"MEDIUM","CVSS:3.0/AV:N/AC:L/PR:L/UI:N/S:U/C:L/I:N/A:N","nvd@nist.gov",4,LOW,"AV:N/AC:L/Au:S/C:P/I:N/A:N","cpe:2.3:a:ibm:engineering_test_management:7.0.0:*:*:*:*:*:*:*" "cpe:2.3:a:ibm:rational_rhapsody_design_manager:6.0.2:*:*:*:*:*:*:*" "cpe:2.3:a:ibm:rational_rhapsody_design_manager:7.0.0:*:*:*:*:*:*:*"
"Modified","CVE-2020-4459","CWE-798",,,,,"nvd@nist.gov",9.8,"CRITICAL","CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H","psirt@us.ibm.com",5.9,"MEDIUM","CVSS:3.0/AV:N/AC:H/PR:N/UI:N/S:U/C:H/I:N/A:N","nvd@nist.gov",7.5,HIGH,"AV:N/AC:L/Au:N/C:P/I:P/A:P","cpe:2.3:a:ibm:security_secret_server:*:*:*:*:*:*:*:*"
"Modified","CVE-2020-4525","CWE-79",,,,,"nvd@nist.gov",5.4,"MEDIUM","CVSS:3.1/AV:N/AC:L/PR:L/UI:R/S:C/C:L/I:L/A:N","psirt@us.ibm.com",5.4,"MEDIUM","CVSS:3.0/AV:N/AC:L/PR:L/UI:R/S:C/C:L/I:L/A:N","nvd@nist.gov",3.5,LOW,"AV:N/AC:M/Au:S/C:N/I:P/A:N","cpe:2.3:a:ibm:engineering_workflow_management:7.0.0:*:*:*:*:*:*:*" "cpe:2.3:a:ibm:rational_rhapsody_design_manager:6.0.2:*:*:*:*:*:*:*" "cpe:2.3:a:ibm:rational_rhapsody_design_manager:7.0.0:*:*:*:*:*:*:*"
"Modified","CVE-2020-4542","CWE-79",,,,,"nvd@nist.gov",5.4,"MEDIUM","CVSS:3.1/AV:N/AC:L/PR:L/UI:R/S:C/C:L/I:L/A:N","psirt@us.ibm.com",5.4,"MEDIUM","CVSS:3.0/AV:N/AC:L/PR:L/UI:R/S:C/C:L/I:L/A:N","nvd@nist.gov",3.5,LOW,"AV:N/AC:M/Au:S/C:N/I:P/A:N","cpe:2.3:a:ibm:engineering_requirements_management_doors_next:7.0:*:*:*:*:*:*:*"
"Modified","CVE-2020-4631","CWE-732",,,,,"nvd@nist.gov",5.5,"MEDIUM","CVSS:3.1/AV:L/AC:L/PR:L/UI:N/S:U/C:N/I:N/A:H","psirt@us.ibm.com",5.1,"MEDIUM","CVSS:3.0/AV:L/AC:H/PR:N/UI:N/S:U/C:H/I:N/A:N","nvd@nist.gov",1.9,LOW,"AV:L/AC:M/Au:N/C:N/I:N/A:P","cpe:2.3:a:ibm:spectrum_protect_plus:*:*:*:*:*:*:*:*" "cpe:2.3:o:microsoft:windows:-:*:*:*:*:*:*:*"
