"Modified","CVE-2010-4975","CWE-89",,,,,,,,,,,,,"nvd@nist.gov",7.5,HIGH,"AV:N/AC:L/Au:N/C:P/I:P/A:P","cpe:2.3:a:techjoomla:com_socialads:-:*:*:*:*:*:*:*" "cpe:2.3:a:joomla:joomla\\!:*:*:*:*:*:*:*:*"
"Modified","CVE-2010-4976","CWE-79",,,,,,,,,,,,,"nvd@nist.gov",4.3,MEDIUM,"AV:N/AC:M/Au:N/C:N/I:P/A:N","cpe:2.3:a:metinfo:metinfo:3.0:*:*:*:*:*:*:*"
"Modified","CVE-2010-4977","CWE-89",,,,,,,,,,,,,"nvd@nist.gov",7.5,HIGH,"AV:N/AC:L/Au:N/C:P/I:P/A:P","cpe:2.3:a:miniwork:com_canteen:1.0:*:*:*:*:*:*:*" "cpe:2.3:a:joomla:joomla\\!:*:*:*:*:*:*:*:*"
"Modified","CVE-2010-4978","CWE-79",,,,,,,,,,,,,"nvd@nist.gov",4.3,MEDIUM,"AV:N/AC:M/Au:N/C:N/I:P/A:N","cpe:2.3:a:nicholas_berry:candid:*:*:*:*:*:*:*:*"
"Modified","CVE-2010-4979","CWE-89",,,,,,,,,,,,,"nvd@nist.gov",7.5,HIGH,"AV:N/AC:L/Au:N/C:P/I:P/A:P","cpe:2.3:a:nicholas_berry:candid:*:*:*:*:*:*:*:*"
"Modified","CVE-2010-4980","CWE-89",,,,,,,,,,,,,"nvd@nist.gov",7.5,HIGH,"AV:N/AC:L/Au:N/C:P/I:P/A:P","cpe:2.3:a:iscripts:reservelogic:1.0:*:*:*:*:*:*:*"
"Modified","CVE-2010-4981","CWE-89",,,,,,,,,,,,,"nvd@nist.gov",7.5,HIGH,"AV:N/AC:L/Au:N/C:P/I:P/A:P","cpe:2.3:a:yourfreeworld:banner_management:-:*:*:*:*:*:*:*"
"Modified","CVE-2010-4982","CWE-89",,,,,,,,,,,,,"nvd@nist.gov",7.5,HIGH,"AV:N/AC:L/Au:N/C:P/I:P/A:P","cpe:2.3:a:mykazaam:address_\\&_contact_organizer:-:*:*:*:*:*:*:*"
"Modified","CVE-2010-4983","CWE-89",,,,,,,,,,,,,"nvd@nist.gov",7.5,HIGH,"AV:N/AC:L/Au:N/C:P/I:P/A:P","cpe:2.3:a:iscripts:cybermatch:1.0:*:*:*:*:*:*:*"
"Modified","CVE-2010-4984","CWE-89",,,,,,,,,,,,,"nvd@nist.gov",7.5,HIGH,"AV:N/AC:L/Au:N/C:P/I:P/A:P","cpe:2.3:a:mykazaam:notes_management_system:-:*:*:*:*:*:*:*"
"Modified","CVE-2010-4985","CWE-79",,,,,,,,,,,,,"nvd@nist.gov",4.3,MEDIUM,"AV:N/AC:M/Au:N/C:N/I:P/A:N","cpe:2.3:a:mykazaam:notes_management_system:-:*:*:*:*:*:*:*"
"Modified","CVE-2010-4986","CWE-89",,,,,,,,,,,,,"nvd@nist.gov",7.5,HIGH,"AV:N/AC:L/Au:N/C:P/I:P/A:P","cpe:2.3:a:cafuego:simple_document_management_system:1.1.4:*:*:*:*:*:*:*" "cpe:2.3:a:cafuego:simple_document_management_system:1.1.5:*:*:*:*:*:*:*" "cpe:2.3:a:cafuego:simple_document_management_system:1.1.6:*:*:*:*:*:*:*"
"Modified","CVE-2010-4987","CWE-89",,,,,,,,,,,,,"nvd@nist.gov",7.5,HIGH,"AV:N/AC:L/Au:N/C:P/I:P/A:P","cpe:2.3:a:kmsoft:guestbook:-:*:*:*:*:*:*:*"
"Modified","CVE-2010-4988","CWE-94",,,,,,,,,,,,,"nvd@nist.gov",7.5,HIGH,"AV:N/AC:L/Au:N/C:P/I:P/A:P","cpe:2.3:a:familycms:family_connections_who_is_chatting:2.2.3:*:*:*:*:*:*:*"
"Modified","CVE-2010-4989","CWE-89",,,,,,,,,,,,,"nvd@nist.gov",7.5,HIGH,"AV:N/AC:L/Au:N/C:P/I:P/A:P","cpe:2.3:a:farsi-cms:ziggurat_farsi_cms:*:*:*:*:*:*:*:*"
"Modified","CVE-2010-4990","CWE-89",,,,,,,,,,,,,"nvd@nist.gov",7.5,HIGH,"AV:N/AC:L/Au:N/C:P/I:P/A:P","cpe:2.3:a:b-elektro:com_addressbook:*:*:*:*:*:*:*:*" "cpe:2.3:a:joomla:joomla\\!:*:*:*:*:*:*:*:*"
"Modified","CVE-2010-4991","CWE-89",,,,,,,,,,,,,"nvd@nist.gov",7.5,HIGH,"AV:N/AC:L/Au:N/C:P/I:P/A:P","cpe:2.3:a:ninjaforge:ninjamonials:*:*:*:*:*:*:*:*" "cpe:2.3:a:joomla:joomla\\!:*:*:*:*:*:*:*:*"
"Modified","CVE-2010-4992","CWE-89",,,,,,,,,,,,,"nvd@nist.gov",7.5,HIGH,"AV:N/AC:L/Au:N/C:P/I:P/A:P","cpe:2.3:a:paymentsplus:payments_plus:2.1.5:*:*:*:*:*:*:*" "cpe:2.3:a:joomla:joomla\\!:*:*:*:*:*:*:*:*"
"Modified","CVE-2010-4993","CWE-89",,,,,,,,,,,,,"nvd@nist.gov",7.5,HIGH,"AV:N/AC:L/Au:N/C:P/I:P/A:P","cpe:2.3:a:kay_messerschmidt:com_eventcal:1.6.4:*:*:*:*:*:*:*" "cpe:2.3:a:joomla:joomla\\!:*:*:*:*:*:*:*:*"
"Modified","CVE-2010-4994","CWE-89",,,,,,,,,,,,,"nvd@nist.gov",7.5,HIGH,"AV:N/AC:L/Au:N/C:P/I:P/A:P","cpe:2.3:a:instantphp:jobs_pro:1.6.4:*:*:*:*:*:*:*" "cpe:2.3:a:joomla:joomla\\!:*:*:*:*:*:*:*:*"
"Modified","CVE-2010-4995","CWE-89",,,,,,,,,,,,,"nvd@nist.gov",7.5,HIGH,"AV:N/AC:L/Au:N/C:P/I:P/A:P","cpe:2.3:a:neojoomla:com_neorecruit:1.6.4:*:*:*:*:*:*:*" "cpe:2.3:a:joomla:joomla\\!:*:*:*:*:*:*:*:*"
"Modified","CVE-2010-4996","CWE-89",,,,,,,,,,,,,"nvd@nist.gov",7.5,HIGH,"AV:N/AC:L/Au:N/C:P/I:P/A:P","cpe:2.3:a:esoftpro:online_guestbook_pro:5.1:*:*:*:*:*:*:*"
"Modified","CVE-2010-4997","CWE-89",,,,,,,,,,,,,"nvd@nist.gov",7.5,HIGH,"AV:N/AC:L/Au:N/C:P/I:P/A:P","cpe:2.3:a:olykit:swoopo_clone_2010:*:*:*:*:*:*:*:*"
"Modified","CVE-2010-4998","CWE-94",,,,,,,,,,,,,"nvd@nist.gov",7.5,HIGH,"AV:N/AC:L/Au:N/C:P/I:P/A:P","cpe:2.3:a:maulana_al_matien:ardeacore_php_framework:2.2:*:*:*:*:*:*:*"
"Modified","CVE-2010-4999","CWE-89",,,,,,,,,,,,,"nvd@nist.gov",7.5,HIGH,"AV:N/AC:L/Au:N/C:P/I:P/A:P","cpe:2.3:a:esoftpro:online_photo_pro:2.0:*:*:*:*:*:*:*"
"Modified","CVE-2010-5000","CWE-89",,,,,,,,,,,,,"nvd@nist.gov",7.5,HIGH,"AV:N/AC:L/Au:N/C:P/I:P/A:P","cpe:2.3:a:joe_pieruccini:mclogin_system:1.1:*:*:*:*:*:*:*" "cpe:2.3:a:joe_pieruccini:mclogin_system:1.2:*:*:*:*:*:*:*"
"Modified","CVE-2010-5001","CWE-89",,,,,,,,,,,,,"nvd@nist.gov",7.5,HIGH,"AV:N/AC:L/Au:N/C:P/I:P/A:P","cpe:2.3:a:esoftpro:online_contact_manager:3.0:*:*:*:*:*:*:*"
"Modified","CVE-2010-5002","CWE-79",,,,,,,,,,,,,"nvd@nist.gov",4.3,MEDIUM,"AV:N/AC:M/Au:N/C:N/I:P/A:N","cpe:2.3:a:exponentcms:exponent_cms:0.97.0:*:*:*:*:*:*:*"
"Modified","CVE-2010-5003","CWE-89",,,,,,,,,,,,,"nvd@nist.gov",7.5,HIGH,"AV:N/AC:L/Au:N/C:P/I:P/A:P","cpe:2.3:a:autartica:com_autartimonial:1.0.8:*:*:*:*:*:*:*" "cpe:2.3:a:joomla:joomla\\!:*:*:*:*:*:*:*:*"
"Modified","CVE-2010-5004","CWE-89",,,,,,,,,,,,,"nvd@nist.gov",7.5,HIGH,"AV:N/AC:L/Au:N/C:P/I:P/A:P","cpe:2.3:a:2daybiz:polls_script:*:*:*:*:*:*:*:*"
"Modified","CVE-2010-5005","CWE-79",,,,,,,,,,,,,"nvd@nist.gov",4.3,MEDIUM,"AV:N/AC:M/Au:N/C:N/I:P/A:N","cpe:2.3:a:rayzz:photoz:*:*:*:*:*:*:*:*"
"Modified","CVE-2010-5006","CWE-89",,,,,,,,,,,,,"nvd@nist.gov",7.5,HIGH,"AV:N/AC:L/Au:N/C:P/I:P/A:P","cpe:2.3:a:emophp:emo_realty_manager:*:*:*:*:*:*:*:*"
"Modified","CVE-2010-5007","CWE-79",,,,,,,,,,,,,"nvd@nist.gov",4.3,MEDIUM,"AV:N/AC:M/Au:N/C:N/I:P/A:N","cpe:2.3:a:ut-files:utstats:*:beta4:*:*:*:*:*:*" "cpe:2.3:a:ut-files:utstats:-:beta3:*:*:*:*:*:*"
"Modified","CVE-2010-5008","CWE-89",,,,,,,,,,,,,"nvd@nist.gov",7.5,HIGH,"AV:N/AC:L/Au:N/C:P/I:P/A:P","cpe:2.3:a:denaliintranet:brightsuite_groupware:5.4:*:*:*:*:*:*:*"
"Modified","CVE-2010-5009","CWE-89",,,,,,,,,,,,,"nvd@nist.gov",7.5,HIGH,"AV:N/AC:L/Au:N/C:P/I:P/A:P","cpe:2.3:a:ut-files:utstats:*:beta4:*:*:*:*:*:*" "cpe:2.3:a:ut-files:utstats:-:beta3:*:*:*:*:*:*"
"Modified","CVE-2010-5010","CWE-79",,,,,,,,,,,,,"nvd@nist.gov",4.3,MEDIUM,"AV:N/AC:M/Au:N/C:N/I:P/A:N","cpe:2.3:a:schoolmation:schoolmation:2.3:*:*:*:*:*:*:*"
"Modified","CVE-2010-5011","CWE-89",,,,,,,,,,,,,"nvd@nist.gov",7.5,HIGH,"AV:N/AC:L/Au:N/C:P/I:P/A:P","cpe:2.3:a:schoolmation:schoolmation:2.3:*:*:*:*:*:*:*"
"Modified","CVE-2010-5012","CWE-89",,,,,,,,,,,,,"nvd@nist.gov",7.5,HIGH,"AV:N/AC:L/Au:N/C:P/I:P/A:P","cpe:2.3:a:david_noguera_gutierrez:dalogin:2.2:*:*:*:*:*:*:*" "cpe:2.3:a:david_noguera_gutierrez:dalogin:2.2.5:*:*:*:*:*:*:*"
"Modified","CVE-2010-5013","CWE-89",,,,,,,,,,,,,"nvd@nist.gov",7.5,HIGH,"AV:N/AC:L/Au:N/C:P/I:P/A:P","cpe:2.3:a:mckenziecreations:virtual_real_estate_manager:3.5:*:*:*:*:*:*:*"
"Modified","CVE-2010-5014","CWE-89",,,,,,,,,,,,,"nvd@nist.gov",7.5,HIGH,"AV:N/AC:L/Au:N/C:P/I:P/A:P","cpe:2.3:a:eliteladders:elite_gaming_ladders:3.5:*:*:*:*:*:*:*"
"Modified","CVE-2010-5015","CWE-89",,,,,,,,,,,,,"nvd@nist.gov",7.5,HIGH,"AV:N/AC:L/Au:N/C:P/I:P/A:P","cpe:2.3:a:2daybiz:network_community_script:*:*:*:*:*:*:*:*"
"Modified","CVE-2010-5016","CWE-89",,,,,,,,,,,,,"nvd@nist.gov",7.5,HIGH,"AV:N/AC:L/Au:N/C:P/I:P/A:P","cpe:2.3:a:eliteladders:elite_gaming_ladders:*:*:*:*:*:*:*:*" "cpe:2.3:a:eliteladders:elite_gaming_ladders:3.0:*:*:*:*:*:*:*" "cpe:2.3:a:eliteladders:elite_gaming_ladders:3.2:*:*:*:*:*:*:*"
"Modified","CVE-2010-5017","CWE-89",,,,,,,,,,,,,"nvd@nist.gov",7.5,HIGH,"AV:N/AC:L/Au:N/C:P/I:P/A:P","cpe:2.3:a:eliteladders:elite_gaming_ladders:3.0:*:*:*:*:*:*:*"
"Modified","CVE-2010-5018","CWE-79",,,,,,,,,,,,,"nvd@nist.gov",4.3,MEDIUM,"AV:N/AC:M/Au:N/C:N/I:P/A:N","cpe:2.3:a:2daybiz:online_classified_script:*:*:*:*:*:*:*:*"
"Modified","CVE-2010-5019","CWE-89",,,,,,,,,,,,,"nvd@nist.gov",7.5,HIGH,"AV:N/AC:L/Au:N/C:P/I:P/A:P","cpe:2.3:a:2daybiz:online_classified_script:*:*:*:*:*:*:*:*"
"Modified","CVE-2010-5020","CWE-89",,,,,,,,,,,,,"nvd@nist.gov",7.5,HIGH,"AV:N/AC:L/Au:N/C:P/I:P/A:P","cpe:2.3:a:netartmedia:iboutique:4.0:*:*:*:*:*:*:*"
"Modified","CVE-2010-5021","CWE-89",,,,,,,,,,,,,"nvd@nist.gov",7.5,HIGH,"AV:N/AC:L/Au:N/C:P/I:P/A:P","cpe:2.3:a:cramerdev:document_library:5.8.5:*:*:*:*:*:*:*"
"Modified","CVE-2010-5022","CWE-89",,,,,,,,,,,,,"nvd@nist.gov",7.5,HIGH,"AV:N/AC:L/Au:N/C:P/I:P/A:P","cpe:2.3:a:harmistechnology:com_jesubmit:1.4:*:*:*:*:*:*:*" "cpe:2.3:a:joomla:joomla\\!:*:*:*:*:*:*:*:*"
"Modified","CVE-2010-5023","CWE-89",,,,,,,,,,,,,"nvd@nist.gov",7.5,HIGH,"AV:N/AC:L/Au:N/C:P/I:P/A:P","cpe:2.3:a:cramerdev:digital_interchange_calendar:5.8.5:*:*:*:*:*:*:*"
"Modified","CVE-2010-5024","CWE-89",,,,,,,,,,,,,"nvd@nist.gov",6,MEDIUM,"AV:N/AC:M/Au:S/C:P/I:P/A:P","cpe:2.3:a:cutesite:cutesite_cms:1.2.3:*:*:*:*:*:*:*" "cpe:2.3:a:cutesite:cutesite_cms:1.5.0:*:*:*:*:*:*:*"
"Modified","CVE-2010-5025","CWE-79",,,,,,,,,,,,,"nvd@nist.gov",4.3,MEDIUM,"AV:N/AC:M/Au:N/C:N/I:P/A:N","cpe:2.3:a:cutesite:cutesite_cms:1.2.3:*:*:*:*:*:*:*" "cpe:2.3:a:cutesite:cutesite_cms:1.5.0:*:*:*:*:*:*:*"
"Modified","CVE-2010-5026","CWE-89",,,,,,,,,,,,,"nvd@nist.gov",6.8,MEDIUM,"AV:N/AC:M/Au:N/C:P/I:P/A:P","cpe:2.3:a:sfiab:science_fair_in_a_box:2.0.6:*:*:*:*:*:*:*" "cpe:2.3:a:sfiab:science_fair_in_a_box:2.2.0:*:*:*:*:*:*:*"
"Modified","CVE-2010-5027","CWE-79",,,,,,,,,,,,,"nvd@nist.gov",4.3,MEDIUM,"AV:N/AC:M/Au:N/C:N/I:P/A:N","cpe:2.3:a:sfiab:science_fair_in_a_box:2.0.6:*:*:*:*:*:*:*" "cpe:2.3:a:sfiab:science_fair_in_a_box:2.2.0:*:*:*:*:*:*:*"
"Modified","CVE-2010-5028","CWE-89",,,,,,,,,,,,,"nvd@nist.gov",7.5,HIGH,"AV:N/AC:L/Au:N/C:P/I:P/A:P","cpe:2.3:a:harmistechnology:com_jejob:1.0:*:*:*:*:*:*:*" "cpe:2.3:a:joomla:joomla\\!:*:*:*:*:*:*:*:*"
"Modified","CVE-2010-5029","CWE-89",,,,,,,,,,,,,"nvd@nist.gov",7.5,HIGH,"AV:N/AC:L/Au:N/C:P/I:P/A:P","cpe:2.3:a:codefabrik:ecomat_cms:5.0:*:*:*:*:*:*:*"
"Modified","CVE-2010-5030","CWE-79",,,,,,,,,,,,,"nvd@nist.gov",4.3,MEDIUM,"AV:N/AC:M/Au:N/C:N/I:P/A:N","cpe:2.3:a:codefabrik:ecomat_cms:5.0:*:*:*:*:*:*:*"
"Modified","CVE-2010-5031","CWE-79",,,,,,,,,,,,,"nvd@nist.gov",4.3,MEDIUM,"AV:N/AC:M/Au:N/C:N/I:P/A:N","cpe:2.3:a:filenice:filenice:1.1:*:*:*:*:*:*:*"
"Modified","CVE-2010-5032","CWE-89",,,,,,,,,,,,,"nvd@nist.gov",7.5,HIGH,"AV:N/AC:L/Au:N/C:P/I:P/A:P","cpe:2.3:a:tamlyncreative:com_bfquiztrial:*:*:*:*:*:*:*:*" "cpe:2.3:a:joomla:joomla\\!:*:*:*:*:*:*:*:*"
"Modified","CVE-2010-5033","CWE-89",,,,,,,,,,,,,"nvd@nist.gov",7.5,HIGH,"AV:N/AC:L/Au:N/C:P/I:P/A:P","cpe:2.3:a:fusebox:fusebox:5.5.1:*:*:*:*:*:*:*"
"Modified","CVE-2010-5034","CWE-89",,,,,,,,,,,,,"nvd@nist.gov",7.5,HIGH,"AV:N/AC:L/Au:N/C:P/I:P/A:P","cpe:2.3:a:iscripts:easybiller:1.1:*:*:*:*:*:*:*"
"Modified","CVE-2010-5035","CWE-79",,,,,,,,,,,,,"nvd@nist.gov",4.3,MEDIUM,"AV:N/AC:M/Au:N/C:N/I:P/A:N","cpe:2.3:a:iscripts:eswap:2.0:*:*:*:*:*:*:*"
"Modified","CVE-2010-5036","CWE-89",,,,,,,,,,,,,"nvd@nist.gov",7.5,HIGH,"AV:N/AC:L/Au:N/C:P/I:P/A:P","cpe:2.3:a:iscripts:eswap:2.0:*:*:*:*:*:*:*"
"Modified","CVE-2010-5037","CWE-89",,,,,,,,,,,,,"nvd@nist.gov",7.5,HIGH,"AV:N/AC:L/Au:N/C:P/I:P/A:P","cpe:2.3:a:michau_enterprises:sensesites_commonsense_cms:*:*:*:*:*:*:*:*"
"Modified","CVE-2010-5038","CWE-94",,,,,,,,,,,,,"nvd@nist.gov",7.5,HIGH,"AV:N/AC:L/Au:N/C:P/I:P/A:P","cpe:2.3:a:groonesworld:simple_contact_form:*:*:*:*:*:*:*:*"
"Modified","CVE-2010-5039","CWE-89",,,,,,,,,,,,,"nvd@nist.gov",7.5,HIGH,"AV:N/AC:L/Au:N/C:P/I:P/A:P","cpe:2.3:a:scriptsfeed:recipes_listing_portal:1.0:*:*:*:*:*:*:*"
"Modified","CVE-2010-5040","CWE-94",,,,,,,,,,,,,"nvd@nist.gov",6.8,MEDIUM,"AV:N/AC:M/Au:N/C:P/I:P/A:P","cpe:2.3:a:john_bradshaw:np_gallery_plugin:0.94:*:*:*:*:*:*:*" "cpe:2.3:a:nucleuscms:nucleus:*:*:*:*:*:*:*:*"
"Modified","CVE-2010-5041","CWE-89",,,,,,,,,,,,,"nvd@nist.gov",7.5,HIGH,"AV:N/AC:L/Au:N/C:P/I:P/A:P","cpe:2.3:a:john_bradshaw:np_gallery_plugin:0.94:*:*:*:*:*:*:*" "cpe:2.3:a:nucleuscms:nucleus:*:*:*:*:*:*:*:*"
"Modified","CVE-2010-5042","CWE-79",,,,,,,,,,,,,"nvd@nist.gov",4.3,MEDIUM,"AV:N/AC:M/Au:N/C:N/I:P/A:N","cpe:2.3:a:blueconstantmedia:com_djartgallery:0.9.1:*:*:*:*:*:*:*" "cpe:2.3:a:joomla:joomla\\!:*:*:*:*:*:*:*:*"
"Modified","CVE-2010-5043","CWE-89",,,,,,,,,,,,,"nvd@nist.gov",6,MEDIUM,"AV:N/AC:M/Au:S/C:P/I:P/A:P","cpe:2.3:a:blueconstantmedia:com_djartgallery:0.9.1:*:*:*:*:*:*:*" "cpe:2.3:a:joomla:joomla\\!:*:*:*:*:*:*:*:*"
"Modified","CVE-2010-5044","CWE-89",,,,,,,,,,,,,"nvd@nist.gov",6,MEDIUM,"AV:N/AC:M/Au:S/C:P/I:P/A:P","cpe:2.3:a:kanich:com_searchlog:3.1.0:*:*:*:*:*:*:*" "cpe:2.3:a:joomla:joomla\\!:*:*:*:*:*:*:*:*"
"Modified","CVE-2010-5045","CWE-79",,,,,,,,,,,,,"nvd@nist.gov",4.3,MEDIUM,"AV:N/AC:M/Au:N/C:N/I:P/A:N","cpe:2.3:a:sellatsite:smart_asp_survey:*:*:*:*:*:*:*:*"
"Modified","CVE-2010-5046","CWE-79",,,,,,,,,,,,,"nvd@nist.gov",4.3,MEDIUM,"AV:N/AC:M/Au:N/C:N/I:P/A:N","cpe:2.3:a:ecocms:ecocms:*:*:*:*:*:*:*:*"
"Modified","CVE-2010-5047","CWE-89",,,,,,,,,,,,,"nvd@nist.gov",7.5,HIGH,"AV:N/AC:L/Au:N/C:P/I:P/A:P","cpe:2.3:a:v-eva:press_release_script:*:*:*:*:*:*:*:*"
"Modified","CVE-2010-5048","CWE-79",,,,,,,,,,,,,"nvd@nist.gov",4.3,MEDIUM,"AV:N/AC:M/Au:N/C:N/I:P/A:N","cpe:2.3:a:joomlatune:com_jcomments:2.1.0.0:*:*:*:*:*:*:*" "cpe:2.3:a:joomla:joomla\\!:*:*:*:*:*:*:*:*"
